customer_id,age,gender,tenure,monthly_charges,contract_type,support_calls,internet_service,payment_method,total_charges,churn,age_group,tenure_group,churn_numeric,risk_score,risk_level
CUST-00021,70,Female,69,100.86,Month-to-month,2,DSL,Electronic check,6959.34,No,66+,49-72 Months,0,3,Medium
CUST-00022,19,Male,10,71.4,Month-to-month,4,Fiber optic,Electronic check,714.0,No,18-25,7-12 Months,0,4,Medium
CUST-00023,41,Female,10,119.87,Month-to-month,1,Fiber optic,Mailed check,1198.7,Yes,36-45,7-12 Months,1,5,High
CUST-00024,61,Female,60,75.27,Month-to-month,4,DSL,Bank transfer,4516.2,No,56-65,49-72 Months,0,2,Low
CUST-00025,47,Male,51,79.47,One year,1,Fiber optic,Credit card,4052.97,No,46-55,49-72 Months,0,0,Low
CUST-00026,55,Male,21,87.3,Two year,0,Fiber optic,Mailed check,1833.3,No,46-55,13-24 Months,0,0,Low
CUST-00027,19,Female,8,128.14,Month-to-month,3,DSL,Credit card,1025.12,No,18-25,7-12 Months,0,5,High
CUST-00028,38,Male,65,105.72,Two year,3,DSL,Credit card,6871.8,No,36-45,49-72 Months,0,1,Low
CUST-00029,50,Male,30,65.39,Two year,1,Fiber optic,Electronic check,1961.7,Yes,46-55,25-48 Months,1,0,Low
CUST-00030,29,Female,49,107.14,Two year,2,Fiber optic,Electronic check,5249.86,No,26-35,49-72 Months,0,1,Low
CUST-00031,75,Male,9,103.52,Two year,2,Fiber optic,Bank transfer,931.68,No,66+,7-12 Months,0,3,Medium
CUST-00032,39,Male,17,141.03,Two year,2,DSL,Electronic check,2397.51,No,36-45,13-24 Months,0,1,Low
CUST-00033,61,Female,69,129.38,One year,0,DSL,Credit card,8927.22,No,56-65,49-72 Months,0,1,Low
CUST-00034,42,Male,58,104.17,Month-to-month,4,Fiber optic,Electronic check,6041.86,No,36-45,49-72 Months,0,3,Medium
CUST-00035,66,Male,57,64.4,Month-to-month,3,Fiber optic,Mailed check,3670.8,No,66+,49-72 Months,0,2,Low
CUST-00036,44,Female,62,121.34,Two year,5,Fiber optic,Mailed check,7523.08,Yes,36-45,49-72 Months,1,3,Medium
CUST-00037,59,Female,52,94.78,Month-to-month,2,No,Electronic check,4928.56,No,56-65,49-72 Months,0,2,Low
CUST-00038,45,Female,61,148.09,Month-to-month,4,DSL,Bank transfer,9033.49,Yes,36-45,49-72 Months,1,3,Medium
CUST-00039,33,Male,40,52.18,Month-to-month,2,Fiber optic,Electronic check,2087.2,Yes,26-35,25-48 Months,1,2,Low
CUST-00040,32,Female,38,30.36,Two year,4,Fiber optic,Mailed check,1153.68,No,26-35,25-48 Months,0,0,Low
CUST-00041,64,Female,43,29.09,One year,1,DSL,Credit card,1250.87,No,56-65,25-48 Months,0,0,Low
CUST-00042,68,Male,63,103.2,Month-to-month,1,Fiber optic,Credit card,6501.6,No,66+,49-72 Months,0,3,Medium
CUST-00043,61,Female,19,142.1,Month-to-month,3,No,Credit card,2699.9,No,56-65,13-24 Months,0,3,Medium
CUST-00044,72,Female,50,20.25,One year,6,Fiber optic,Mailed check,1012.5,No,66+,49-72 Months,0,2,Low
CUST-00045,69,Female,33,114.35,Month-to-month,1,Fiber optic,Mailed check,3773.55,Yes,66+,25-48 Months,1,3,Medium
CUST-00046,74,Female,13,105.42,One year,4,Fiber optic,Credit card,1370.46,No,66+,13-24 Months,0,1,Low
CUST-00047,20,Male,62,115.2,Month-to-month,1,Fiber optic,Bank transfer,7142.4,No,18-25,49-72 Months,0,3,Medium
CUST-00048,54,Female,43,66.2,Two year,4,No,Bank transfer,2846.6,No,46-55,25-48 Months,0,0,Low
CUST-00049,68,Female,49,126.66,Month-to-month,1,Fiber optic,Credit card,6206.34,No,66+,49-72 Months,0,3,Medium
CUST-00050,24,Male,36,25.81,One year,3,Fiber optic,Credit card,929.16,No,18-25,25-48 Months,0,0,Low
CUST-00051,38,Female,10,118.21,One year,2,DSL,Mailed check,1182.1,Yes,36-45,7-12 Months,1,3,Medium
CUST-00052,26,Male,6,54.72,Month-to-month,1,Fiber optic,Electronic check,328.32,No,26-35,0-6 Months,0,4,Medium
CUST-00053,56,Male,57,81.99,Month-to-month,4,DSL,Mailed check,4673.43,Yes,56-65,49-72 Months,1,2,Low
CUST-00054,35,Male,1,126.94,Month-to-month,3,Fiber optic,Electronic check,126.94,No,26-35,0-6 Months,0,5,High
CUST-00055,21,Female,71,55.28,Two year,4,DSL,Electronic check,3924.88,No,18-25,49-72 Months,0,0,Low
CUST-00056,42,Male,58,44.08,Month-to-month,1,Fiber optic,Electronic check,2556.64,No,36-45,49-72 Months,0,2,Low
CUST-00057,31,Male,21,108.57,One year,1,Fiber optic,Electronic check,2279.97,No,26-35,13-24 Months,0,1,Low
CUST-00058,67,Male,56,89.34,Two year,2,Fiber optic,Credit card,5003.04,No,66+,49-72 Months,0,0,Low
CUST-00059,75,Female,20,86.87,Two year,1,No,Electronic check,1737.4,No,66+,13-24 Months,0,0,Low
CUST-00060,26,Female,54,53.38,One year,1,DSL,Electronic check,2882.52,Yes,26-35,49-72 Months,1,0,Low
CUST-00061,43,Female,25,24.53,One year,1,DSL,Electronic check,613.25,No,36-45,25-48 Months,0,0,Low
CUST-00062,70,Female,28,73.33,Two year,2,No,Mailed check,2053.24,No,66+,25-48 Months,0,0,Low
CUST-00063,19,Female,5,33.85,Two year,0,DSL,Mailed check,169.25,No,18-25,0-6 Months,0,2,Low
CUST-00064,37,Female,21,137.78,Two year,4,Fiber optic,Mailed check,2893.38,Yes,36-45,13-24 Months,1,1,Low
CUST-00065,45,Female,18,25.36,One year,4,No,Bank transfer,456.48,No,36-45,13-24 Months,0,0,Low
CUST-00066,64,Male,47,76.11,Month-to-month,4,No,Mailed check,3577.17,No,56-65,25-48 Months,0,2,Low
CUST-00067,24,Male,70,26.79,Month-to-month,4,Fiber optic,Bank transfer,1875.3,No,18-25,49-72 Months,0,2,Low
CUST-00068,61,Male,57,32.42,Month-to-month,1,Fiber optic,Mailed check,1847.94,No,56-65,49-72 Months,0,2,Low
CUST-00069,25,Male,19,105.65,Two year,2,Fiber optic,Bank transfer,2007.35,No,18-25,13-24 Months,0,1,Low
CUST-00070,64,Female,65,104.12,Two year,2,Fiber optic,Mailed check,6767.8,Yes,56-65,49-72 Months,1,1,Low
CUST-00071,52,Male,3,24.3,Month-to-month,2,DSL,Credit card,72.9,No,46-55,0-6 Months,0,4,Medium
CUST-00072,31,Male,42,20.15,Month-to-month,5,Fiber optic,Mailed check,846.3,Yes,26-35,25-48 Months,1,4,Medium
CUST-00073,34,Male,21,30.25,Month-to-month,1,DSL,Bank transfer,635.25,No,26-35,13-24 Months,0,2,Low
CUST-00074,53,Male,40,119.19,Month-to-month,0,Fiber optic,Electronic check,4767.6,No,46-55,25-48 Months,0,3,Medium
CUST-00075,67,Female,67,95.99,One year,3,Fiber optic,Mailed check,6431.33,No,66+,49-72 Months,0,0,Low
CUST-00076,57,Female,25,24.96,Month-to-month,2,Fiber optic,Electronic check,624.0,No,56-65,25-48 Months,0,2,Low
CUST-00077,21,Female,55,83.45,Month-to-month,3,DSL,Electronic check,4589.75,Yes,18-25,49-72 Months,1,2,Low
CUST-00078,19,Male,52,112.56,Month-to-month,3,Fiber optic,Mailed check,5853.12,No,18-25,49-72 Months,0,3,Medium
CUST-00079,23,Female,44,132.96,Month-to-month,1,Fiber optic,Mailed check,5850.24,No,18-25,25-48 Months,0,3,Medium
CUST-00080,71,Male,56,141.42,Two year,4,Fiber optic,Credit card,7919.52,No,66+,49-72 Months,0,1,Low
CUST-00081,59,Female,55,62.57,Month-to-month,4,DSL,Bank transfer,3441.35,No,56-65,49-72 Months,0,2,Low
CUST-00082,21,Female,70,37.66,Two year,3,DSL,Mailed check,2636.2,No,18-25,49-72 Months,0,0,Low
CUST-00083,71,Female,66,50.8,Month-to-month,0,DSL,Bank transfer,3352.8,Yes,66+,49-72 Months,1,2,Low
CUST-00084,46,Female,19,120.9,Month-to-month,2,DSL,Mailed check,2297.1,Yes,46-55,13-24 Months,1,3,Medium
CUST-00085,35,Female,7,146.29,One year,0,DSL,Electronic check,1024.03,Yes,26-35,7-12 Months,1,3,Medium
CUST-00086,43,Male,63,80.63,One year,4,Fiber optic,Electronic check,5079.69,No,36-45,49-72 Months,0,0,Low
CUST-00087,61,Female,42,59.7,One year,5,DSL,Mailed check,2507.4,No,56-65,25-48 Months,0,2,Low
CUST-00088,51,Male,42,75.79,Month-to-month,2,DSL,Bank transfer,3183.18,No,46-55,25-48 Months,0,2,Low
CUST-00089,27,Male,59,59.63,Month-to-month,3,DSL,Bank transfer,3518.17,Yes,26-35,49-72 Months,1,2,Low
CUST-00090,53,Male,20,53.34,One year,1,Fiber optic,Electronic check,1066.8,Yes,46-55,13-24 Months,1,0,Low
CUST-00091,31,Male,17,97.19,Month-to-month,5,Fiber optic,Bank transfer,1652.23,No,26-35,13-24 Months,0,4,Medium
CUST-00092,48,Male,27,22.05,Month-to-month,1,Fiber optic,Bank transfer,595.35,No,46-55,25-48 Months,0,2,Low
CUST-00093,65,Female,47,53.74,One year,1,Fiber optic,Credit card,2525.78,Yes,56-65,25-48 Months,1,0,Low
CUST-00094,32,Female,2,105.98,Month-to-month,3,Fiber optic,Electronic check,211.96,Yes,26-35,0-6 Months,1,5,High
CUST-00095,25,Female,63,24.17,Month-to-month,2,DSL,Bank transfer,1522.71,No,18-25,49-72 Months,0,2,Low
CUST-00096,31,Female,62,30.82,Month-to-month,2,Fiber optic,Credit card,1910.84,No,26-35,49-72 Months,0,2,Low
CUST-00097,40,Male,19,58.14,Two year,0,Fiber optic,Mailed check,1104.66,No,36-45,13-24 Months,0,0,Low
CUST-00098,74,Female,17,134.11,Month-to-month,2,Fiber optic,Credit card,2279.87,No,66+,13-24 Months,0,3,Medium
CUST-00099,57,Female,69,119.44,Two year,3,Fiber optic,Credit card,8241.36,No,56-65,49-72 Months,0,1,Low
CUST-00100,38,Male,39,22.88,Month-to-month,7,DSL,Credit card,892.32,No,36-45,25-48 Months,0,4,Medium
CUST-00101,33,Male,71,85.22,One year,6,DSL,Credit card,6050.62,No,26-35,49-72 Months,0,2,Low
CUST-00102,62,Female,39,55.71,Month-to-month,1,No,Credit card,2172.69,Yes,56-65,25-48 Months,1,2,Low
CUST-00103,35,Female,36,104.32,Month-to-month,4,Fiber optic,Credit card,3755.52,No,26-35,25-48 Months,0,3,Medium
CUST-00104,64,Male,40,113.8,Two year,3,Fiber optic,Mailed check,4552.0,No,56-65,25-48 Months,0,1,Low
CUST-00105,70,Female,45,132.17,Two year,2,Fiber optic,Mailed check,5947.65,Yes,66+,25-48 Months,1,1,Low
CUST-00106,41,Female,4,81.8,One year,1,DSL,Electronic check,327.2,No,36-45,0-6 Months,0,2,Low
CUST-00107,43,Female,25,149.28,Two year,5,DSL,Electronic check,3732.0,Yes,36-45,25-48 Months,1,3,Medium
CUST-00108,42,Female,69,147.4,Month-to-month,2,DSL,Mailed check,10170.6,No,36-45,49-72 Months,0,3,Medium
CUST-00109,62,Male,30,134.68,Month-to-month,2,Fiber optic,Mailed check,4040.4,Yes,56-65,25-48 Months,1,3,Medium
CUST-00110,58,Male,68,94.73,Month-to-month,2,Fiber optic,Electronic check,6441.64,No,56-65,49-72 Months,0,2,Low
CUST-00111,46,Male,29,71.74,Two year,1,Fiber optic,Credit card,2080.46,No,46-55,25-48 Months,0,0,Low
CUST-00112,32,Female,68,67.37,Month-to-month,1,DSL,Bank transfer,4581.16,No,26-35,49-72 Months,0,2,Low
CUST-00113,62,Female,51,21.58,Two year,2,Fiber optic,Credit card,1100.58,No,56-65,49-72 Months,0,0,Low
CUST-00114,18,Female,24,52.39,Month-to-month,6,Fiber optic,Mailed check,1257.36,Yes,18-25,13-24 Months,1,4,Medium
CUST-00115,42,Female,14,113.45,One year,4,DSL,Electronic check,1588.3,No,36-45,13-24 Months,0,1,Low
CUST-00116,24,Female,69,98.47,Month-to-month,3,Fiber optic,Electronic check,6794.43,No,18-25,49-72 Months,0,2,Low
CUST-00117,26,Male,18,139.13,Month-to-month,0,Fiber optic,Credit card,2504.34,No,26-35,13-24 Months,0,3,Medium
CUST-00118,41,Female,42,26.5,One year,5,Fiber optic,Electronic check,1113.0,No,36-45,25-48 Months,0,2,Low
CUST-00119,18,Female,57,40.19,Month-to-month,4,DSL,Mailed check,2290.83,Yes,18-25,49-72 Months,1,2,Low
CUST-00120,61,Male,12,122.6,Two year,4,Fiber optic,Mailed check,1471.2,No,56-65,7-12 Months,0,3,Medium
CUST-00121,25,Female,17,66.61,One year,9,DSL,Bank transfer,1132.37,Yes,18-25,13-24 Months,1,2,Low
CUST-00122,41,Male,30,35.38,One year,1,Fiber optic,Mailed check,1061.4,No,36-45,25-48 Months,0,0,Low
CUST-00123,28,Male,23,149.54,Two year,2,Fiber optic,Bank transfer,3439.42,No,26-35,13-24 Months,0,1,Low
CUST-00124,68,Male,1,122.34,One year,3,DSL,Bank transfer,122.34,No,66+,0-6 Months,0,3,Medium
CUST-00125,34,Male,32,73.14,One year,2,DSL,Credit card,2340.48,No,26-35,25-48 Months,0,0,Low
CUST-00126,25,Male,9,127.04,Month-to-month,6,Fiber optic,Electronic check,1143.36,Yes,18-25,7-12 Months,1,7,High
CUST-00127,52,Female,15,108.48,Month-to-month,3,DSL,Mailed check,1627.2,Yes,46-55,13-24 Months,1,3,Medium
CUST-00128,52,Male,28,122.7,One year,2,Fiber optic,Electronic check,3435.6,No,46-55,25-48 Months,0,1,Low
CUST-00129,50,Male,24,125.98,Two year,4,Fiber optic,Bank transfer,3023.52,No,46-55,13-24 Months,0,1,Low
CUST-00130,22,Female,60,31.01,Month-to-month,2,Fiber optic,Mailed check,1860.6,Yes,18-25,49-72 Months,1,2,Low
CUST-00131,59,Female,35,100.99,Month-to-month,3,DSL,Electronic check,3534.65,No,56-65,25-48 Months,0,3,Medium
CUST-00132,56,Male,27,20.88,One year,4,DSL,Mailed check,563.76,No,56-65,25-48 Months,0,0,Low
CUST-00133,75,Female,20,25.65,Month-to-month,1,DSL,Credit card,513.0,No,66+,13-24 Months,0,2,Low
CUST-00134,58,Female,65,137.52,One year,3,DSL,Mailed check,8938.8,No,56-65,49-72 Months,0,1,Low
CUST-00135,45,Male,49,88.58,One year,2,DSL,Bank transfer,4340.42,Yes,36-45,49-72 Months,1,0,Low
CUST-00136,24,Male,1,115.67,Month-to-month,5,Fiber optic,Mailed check,115.67,Yes,18-25,0-6 Months,1,7,High
CUST-00137,26,Female,10,129.01,Two year,5,Fiber optic,Credit card,1290.1,Yes,26-35,7-12 Months,1,5,High
CUST-00138,25,Male,47,143.45,Month-to-month,3,DSL,Credit card,6742.15,Yes,18-25,25-48 Months,1,3,Medium
CUST-00139,29,Male,59,133.02,One year,2,DSL,Electronic check,7848.18,No,26-35,49-72 Months,0,1,Low
CUST-00140,51,Female,62,82.83,Month-to-month,2,Fiber optic,Credit card,5135.46,No,46-55,49-72 Months,0,2,Low
CUST-00141,50,Male,18,63.68,Month-to-month,2,Fiber optic,Bank transfer,1146.24,No,46-55,13-24 Months,0,2,Low
CUST-00142,65,Male,46,40.08,Two year,0,Fiber optic,Credit card,1843.68,No,56-65,25-48 Months,0,0,Low
CUST-00143,72,Male,32,72.04,Month-to-month,1,No,Electronic check,2305.28,Yes,66+,25-48 Months,1,2,Low
CUST-00144,40,Male,27,67.64,Month-to-month,3,DSL,Credit card,1826.28,Yes,36-45,25-48 Months,1,2,Low
CUST-00145,41,Male,18,92.74,Month-to-month,2,DSL,Credit card,1669.32,Yes,36-45,13-24 Months,1,2,Low
CUST-00146,54,Female,39,106.52,Month-to-month,3,DSL,Mailed check,4154.28,No,46-55,25-48 Months,0,3,Medium
CUST-00147,52,Female,49,147.18,Month-to-month,5,DSL,Electronic check,7211.82,Yes,46-55,49-72 Months,1,5,High
CUST-00148,61,Male,44,114.69,Month-to-month,1,No,Mailed check,5046.36,No,56-65,25-48 Months,0,3,Medium
CUST-00149,57,Female,72,103.69,Two year,2,Fiber optic,Electronic check,7465.68,No,56-65,49-72 Months,0,1,Low
CUST-00150,39,Male,54,63.56,One year,2,Fiber optic,Electronic check,3432.24,No,36-45,49-72 Months,0,0,Low
CUST-00151,44,Male,34,24.49,Month-to-month,0,DSL,Electronic check,832.66,No,36-45,25-48 Months,0,2,Low
CUST-00152,52,Male,71,57.46,One year,2,No,Electronic check,4079.66,No,46-55,49-72 Months,0,0,Low
CUST-00153,18,Male,36,119.9,Month-to-month,5,Fiber optic,Electronic check,4316.4,No,18-25,25-48 Months,0,5,High
CUST-00154,52,Male,18,46.69,Month-to-month,5,Fiber optic,Electronic check,840.42,No,46-55,13-24 Months,0,4,Medium
CUST-00155,54,Female,38,112.58,Month-to-month,4,No,Credit card,4278.04,Yes,46-55,25-48 Months,1,3,Medium
CUST-00156,64,Female,59,95.37,Month-to-month,3,No,Credit card,5626.83,No,56-65,49-72 Months,0,2,Low
CUST-00157,31,Male,9,42.34,Two year,1,DSL,Credit card,381.06,No,26-35,7-12 Months,0,2,Low
CUST-00158,20,Female,72,54.01,Month-to-month,2,DSL,Bank transfer,3888.72,No,18-25,49-72 Months,0,2,Low
CUST-00159,18,Male,51,84.52,Two year,2,DSL,Electronic check,4310.52,Yes,18-25,49-72 Months,1,0,Low
CUST-00160,22,Female,35,74.39,Month-to-month,5,Fiber optic,Credit card,2603.65,Yes,18-25,25-48 Months,1,4,Medium
CUST-00161,43,Male,5,121.21,Month-to-month,2,DSL,Electronic check,606.05,Yes,36-45,0-6 Months,1,5,High
CUST-00162,72,Female,14,115.47,One year,3,Fiber optic,Mailed check,1616.58,No,66+,13-24 Months,0,1,Low
CUST-00163,31,Male,30,94.69,One year,3,Fiber optic,Bank transfer,2840.7,No,26-35,25-48 Months,0,0,Low
CUST-00164,56,Male,4,126.9,Month-to-month,1,Fiber optic,Electronic check,507.6,Yes,56-65,0-6 Months,1,5,High
CUST-00165,44,Female,39,93.15,Month-to-month,7,Fiber optic,Credit card,3632.85,No,36-45,25-48 Months,0,4,Medium
CUST-00166,26,Female,64,145.37,Month-to-month,4,Fiber optic,Bank transfer,9303.68,No,26-35,49-72 Months,0,3,Medium
CUST-00167,32,Male,25,48.24,Two year,1,Fiber optic,Mailed check,1206.0,No,26-35,25-48 Months,0,0,Low
CUST-00168,32,Female,28,112.84,Month-to-month,3,No,Electronic check,3159.52,Yes,26-35,25-48 Months,1,3,Medium
CUST-00169,43,Male,66,68.09,Month-to-month,4,Fiber optic,Bank transfer,4493.94,Yes,36-45,49-72 Months,1,2,Low
CUST-00170,59,Female,22,56.27,Two year,2,Fiber optic,Electronic check,1237.94,No,56-65,13-24 Months,0,0,Low
CUST-00171,30,Female,31,43.45,Month-to-month,2,Fiber optic,Bank transfer,1346.95,No,26-35,25-48 Months,0,2,Low
CUST-00172,68,Male,23,91.83,Month-to-month,4,No,Credit card,2112.09,Yes,66+,13-24 Months,1,2,Low
CUST-00173,49,Female,48,48.01,Month-to-month,3,Fiber optic,Electronic check,2304.48,Yes,46-55,25-48 Months,1,2,Low
CUST-00174,56,Female,20,46.05,One year,3,Fiber optic,Electronic check,921.0,Yes,56-65,13-24 Months,1,0,Low
CUST-00175,66,Male,38,148.77,Month-to-month,1,Fiber optic,Electronic check,5653.26,Yes,66+,25-48 Months,1,3,Medium
CUST-00176,69,Female,55,124.23,Month-to-month,2,Fiber optic,Credit card,6832.65,No,66+,49-72 Months,0,3,Medium
CUST-00177,49,Male,68,117.28,Two year,0,No,Bank transfer,7975.04,No,46-55,49-72 Months,0,1,Low
CUST-00178,21,Male,1,123.23,Month-to-month,2,Fiber optic,Credit card,123.23,Yes,18-25,0-6 Months,1,5,High
CUST-00179,47,Male,7,145.96,Month-to-month,2,Fiber optic,Mailed check,1021.72,No,46-55,7-12 Months,0,5,High
CUST-00180,54,Male,57,94.53,Month-to-month,2,Fiber optic,Mailed check,5388.21,No,46-55,49-72 Months,0,2,Low
CUST-00181,40,Male,12,48.63,One year,1,DSL,Mailed check,583.56,No,36-45,7-12 Months,0,2,Low
CUST-00182,56,Female,5,132.09,Two year,3,Fiber optic,Bank transfer,660.45,No,56-65,0-6 Months,0,3,Medium
CUST-00183,62,Male,50,116.55,Month-to-month,3,DSL,Electronic check,5827.5,Yes,56-65,49-72 Months,1,3,Medium
CUST-00184,32,Male,42,73.86,Month-to-month,1,Fiber optic,Bank transfer,3102.12,Yes,26-35,25-48 Months,1,2,Low
CUST-00185,60,Female,12,81.56,Month-to-month,2,Fiber optic,Mailed check,978.72,No,56-65,7-12 Months,0,4,Medium
CUST-00186,46,Female,18,73.46,Month-to-month,3,DSL,Bank transfer,1322.28,Yes,46-55,13-24 Months,1,2,Low
CUST-00187,53,Female,66,140.89,One year,0,Fiber optic,Electronic check,9298.74,No,46-55,49-72 Months,0,1,Low
CUST-00188,30,Male,17,64.66,Month-to-month,3,DSL,Electronic check,1099.22,No,26-35,13-24 Months,0,2,Low
CUST-00189,49,Male,68,145.25,Month-to-month,1,Fiber optic,Bank transfer,9877.0,No,46-55,49-72 Months,0,3,Medium
CUST-00190,24,Male,71,138.34,Month-to-month,1,DSL,Mailed check,9822.14,No,18-25,49-72 Months,0,3,Medium
CUST-00191,68,Female,62,101.97,Month-to-month,4,DSL,Electronic check,6322.14,No,66+,49-72 Months,0,3,Medium
CUST-00192,39,Male,41,95.38,One year,1,Fiber optic,Mailed check,3910.58,No,36-45,25-48 Months,0,0,Low
CUST-00193,45,Female,34,68.11,Month-to-month,3,DSL,Electronic check,2315.74,No,36-45,25-48 Months,0,2,Low
CUST-00194,19,Male,70,22.38,Two year,3,Fiber optic,Mailed check,1566.6,No,18-25,49-72 Months,0,0,Low
CUST-00195,59,Female,45,36.59,Month-to-month,3,DSL,Bank transfer,1646.55,No,56-65,25-48 Months,0,2,Low
CUST-00196,62,Male,58,118.05,Two year,1,Fiber optic,Credit card,6846.9,No,56-65,49-72 Months,0,1,Low
CUST-00197,74,Male,51,81.3,Month-to-month,2,Fiber optic,Credit card,4146.3,No,66+,49-72 Months,0,2,Low
CUST-00198,70,Male,34,39.48,One year,3,Fiber optic,Mailed check,1342.32,No,66+,25-48 Months,0,0,Low
CUST-00199,23,Female,44,54.31,Month-to-month,2,Fiber optic,Electronic check,2389.64,No,18-25,25-48 Months,0,2,Low
CUST-00200,45,Female,15,143.22,One year,3,Fiber optic,Bank transfer,2148.3,Yes,36-45,13-24 Months,1,1,Low
CUST-00201,45,Male,70,67.73,Month-to-month,3,Fiber optic,Electronic check,4741.1,No,36-45,49-72 Months,0,2,Low
CUST-00202,61,Male,50,138.0,Month-to-month,5,DSL,Credit card,6900.0,No,56-65,49-72 Months,0,5,High
CUST-00203,61,Male,32,59.6,One year,3,Fiber optic,Credit card,1907.2,No,56-65,25-48 Months,0,0,Low
CUST-00204,37,Female,67,90.62,One year,2,Fiber optic,Bank transfer,6071.54,Yes,36-45,49-72 Months,1,0,Low
CUST-00205,47,Male,3,22.66,One year,3,Fiber optic,Mailed check,67.98,No,46-55,0-6 Months,0,2,Low
CUST-00206,28,Male,51,87.84,Month-to-month,3,DSL,Bank transfer,4479.84,Yes,26-35,49-72 Months,1,2,Low
CUST-00207,75,Male,67,102.8,Month-to-month,3,Fiber optic,Credit card,6887.6,No,66+,49-72 Months,0,3,Medium
CUST-00208,72,Male,48,50.46,One year,1,No,Bank transfer,2422.08,No,66+,25-48 Months,0,0,Low
CUST-00209,45,Female,17,95.26,Month-to-month,4,Fiber optic,Credit card,1619.42,Yes,36-45,13-24 Months,1,2,Low
CUST-00210,42,Female,7,104.13,Month-to-month,3,Fiber optic,Electronic check,728.91,Yes,36-45,7-12 Months,1,5,High
CUST-00211,56,Male,13,109.3,Month-to-month,5,DSL,Credit card,1420.9,Yes,56-65,13-24 Months,1,5,High
CUST-00212,50,Male,66,120.93,Month-to-month,2,Fiber optic,Credit card,7981.38,No,46-55,49-72 Months,0,3,Medium
CUST-00213,18,Female,4,60.47,Month-to-month,5,DSL,Bank transfer,241.88,No,18-25,0-6 Months,0,6,High
CUST-00214,74,Female,10,93.81,One year,3,DSL,Bank transfer,938.1,Yes,66+,7-12 Months,1,2,Low
CUST-00215,44,Male,17,147.61,Two year,2,Fiber optic,Bank transfer,2509.37,No,36-45,13-24 Months,0,1,Low
CUST-00216,74,Female,52,136.76,Month-to-month,2,DSL,Electronic check,7111.52,Yes,66+,49-72 Months,1,3,Medium
CUST-00217,69,Female,6,143.85,Two year,2,No,Bank transfer,863.1,Yes,66+,0-6 Months,1,3,Medium
CUST-00218,30,Male,69,70.2,One year,3,Fiber optic,Electronic check,4843.8,No,26-35,49-72 Months,0,0,Low
CUST-00219,58,Female,9,122.3,Two year,2,Fiber optic,Mailed check,1100.7,No,56-65,7-12 Months,0,3,Medium
CUST-00220,20,Female,21,100.59,Two year,5,Fiber optic,Bank transfer,2112.39,No,18-25,13-24 Months,0,3,Medium
CUST-00221,56,Male,24,30.76,One year,0,Fiber optic,Bank transfer,738.24,No,56-65,13-24 Months,0,0,Low
CUST-00222,23,Male,4,127.12,Month-to-month,1,No,Mailed check,508.48,No,18-25,0-6 Months,0,5,High
